date,gdp,NBER,y,dy
1947-01-01,2182.681,0,7.688309216692008,NA
1947-04-01,2176.892,0,7.68565345044952,-1.0623064969951912
1947-07-01,2172.432,0,7.683602556304456,-0.8203576580253724
1947-10-01,2206.452,0,7.699141074564077,6.215407303848153
1948-01-01,2239.682,0,7.714089170485488,5.9792383685646655
1948-04-01,2276.69,0,7.730477912746109,6.555496904248415
1948-07-01,2289.77,0,7.736206654822961,2.291496830740769
1948-10-01,2292.364,0,7.737338878488664,0.4528894662811922
1949-01-01,2260.807,1,7.723477108174585,-5.544708125631814
1949-04-01,2253.128,1,7.720074751956478,-1.3609424872427667
1949-07-01,2276.424,1,7.730361069635965,4.114527071794782
1949-10-01,2257.352,1,7.721947723895084,-3.3653382963521494
1950-01-01,2346.104,0,7.760511359006629,15.425454044617837
1950-04-01,2417.682,0,7.7905645088784174,12.021259948715368
1950-07-01,2511.127,0,7.828486935337768,15.168970583740204
1950-10-01,2559.214,0,7.847455459079864,7.587409496838404
1951-01-01,2593.967,0,7.860943643130087,5.395273620089114
1951-04-01,2638.898,0,7.878116684752187,6.8692166488400375
1951-07-01,2693.259,0,7.8985072634562705,8.15623148163347
1951-10-01,2699.156,0,7.900694410532579,0.8748588305234506
1952-01-01,2727.954,0,7.911307156651096,4.245098447406903
1952-04-01,2733.8,0,7.913447861718553,0.8562820269826688
1952-07-01,2753.517,0,7.920634282643891,2.874568370135222
1952-10-01,2843.941,0,7.952946045278969,12.924705054031094
1953-01-01,2896.811,0,7.9713657557377875,7.367884183527451
1953-04-01,2919.206,0,7.979066940477758,3.0804738959883338
1953-07-01,2902.785,1,7.973425899966075,-2.256416204673428
1953-10-01,2858.845,1,7.958172976092233,-6.101169549536678
1954-01-01,2845.192,1,7.953385831102279,-1.9148579959814782
1954-04-01,2848.305,1,7.954479359494482,0.4374113568811566
1954-07-01,2880.482,0,7.965712920237794,4.493424297324822
1954-10-01,2936.852,0,7.985093538372913,7.752247254047617
1955-01-01,3020.746,0,8.01325909973208,11.26622454366668
1955-04-01,3069.91,0,8.02940352419061,6.457769783411749
1955-07-01,3111.379,0,8.04282131525697,5.367116426544527
1955-10-01,3130.068,0,8.048810008537826,2.395477312342109
1956-01-01,3117.922,0,8.044922033268895,-1.5551901075724572
1956-04-01,3143.694,0,8.053153820568122,3.292714919690809
1956-07-01,3140.874,0,8.052256384120854,-0.35897457890712303
1956-10-01,3192.57,0,8.06858151405629,6.530051974174711
1957-01-01,3213.011,0,8.074963782701657,2.5529074581463362
1957-04-01,3205.97,0,8.072769975670944,-0.8775228122850365
1957-07-01,3237.386,0,8.082521493032612,3.9006069446671177
1957-10-01,3203.894,1,8.07212222399553,-4.159707614832797
1958-01-01,3120.724,1,8.045820305165845,-10.520767531873787
1958-04-01,3141.224,1,8.05236781186374,2.6190026791574894
1958-07-01,3213.884,0,8.075235453549046,9.147056674122922
1958-10-01,3289.032,0,8.09834857554276,9.245248797485317
1959-01-01,3352.129,0,8.117350945348338,7.600947922231427
1959-04-01,3427.667,0,8.13963513380896,8.913675384248876
1959-07-01,3430.057,0,8.140332158097708,0.278809715499051
1959-10-01,3439.832,0,8.143177911965566,1.1383015471430724
1960-01-01,3517.181,0,8.165415095465919,8.894873400141279
1960-04-01,3498.246,0,8.160016979006311,-2.1592465838430996
1960-07-01,3515.385,1,8.164904328829945,1.9549399294533032
1960-10-01,3470.278,1,8.151989985005622,-5.165737529728887
1961-01-01,3493.703,1,8.158717484219004,2.6909996853525797
1961-04-01,3553.021,0,8.17555350650173,6.7344089130905616
1961-07-01,3621.252,0,8.194575101378886,7.608637950862374
1961-10-01,3692.289,0,8.214001869915677,7.770707414716327
1962-01-01,3758.147,0,8.231681295759735,7.071770337623207
1962-04-01,3792.149,0,8.240688155851897,3.602744036864891
1962-07-01,3838.776,0,8.252908844770193,4.888275567318345
1962-10-01,3851.421,0,8.256197450093627,1.315442129373423
1963-01-01,3893.482,0,8.26705915191659,4.3446807291850575
1963-04-01,3937.183,0,8.278220771956443,4.464648015941464
1963-07-01,4023.755,0,8.299970825234178,8.70002131109402
1963-10-01,4050.147,0,8.306508455738186,2.615052201603163
1964-01-01,4135.553,0,8.327376334912492,8.347151669722308
1964-04-01,4180.592,0,8.338208142284932,4.332722948976198
1964-07-01,4245.918,0,8.353713329782792,6.202074999144003
1964-10-01,4259.046,0,8.356800470522318,1.2348562958102605
1965-01-01,4362.111,0,8.380711393480444,9.564369183250676
1965-04-01,4417.225,0,8.393266949850883,5.022222548175392
1965-07-01,4515.427,0,8.41525503502269,8.79523406872309
1965-10-01,4619.458,0,8.438032661176406,9.111050461486059
1966-01-01,4731.888,0,8.462079556179118,9.61875800108487
1966-04-01,4748.046,0,8.465488443972434,1.363555117326598
1966-07-01,4788.254,0,8.47392111456069,3.373068235302412
1966-10-01,4827.537,0,8.482091678695877,3.2682256540745414
1967-01-01,4870.299,0,8.490910610495861,3.527572719993799
1967-04-01,4873.287,0,8.491523937066523,0.24533062826463947
1967-07-01,4919.392,0,8.500940224614286,3.7665150191052987
1967-10-01,4956.477,0,8.508450485090956,3.004104190667789
1968-01-01,5057.553,0,8.528638048472903,8.075025352778908
1968-04-01,5142.033,0,8.545203805541531,6.626302827451269
1968-07-01,5181.859,0,8.552919151180275,3.086138255497417
1968-10-01,5202.212,0,8.556839198734517,1.568019021696898
1969-01-01,5283.597,0,8.572362394754862,6.209278408137919
1969-04-01,5299.625,0,8.57539134232,1.2115790260551762
1969-07-01,5334.6,0,8.581969184355149,2.631136814059687
1969-10-01,5308.556,0,8.577075137517323,-1.9576187351304952
1970-01-01,5300.652,1,8.575585110841937,-0.5960106701543566
1970-04-01,5308.164,1,8.577001291734412,0.5664723569900332
1970-07-01,5357.077,1,8.586173769494293,3.6689911039523793
1970-10-01,5299.672,1,8.575400210832694,-4.30942346463965
1971-01-01,5443.619,0,8.602199376017348,10.719666073861589
1971-04-01,5473.059,0,8.607592971279491,2.1574381048573343
1971-07-01,5518.072,0,8.615783802897976,3.2763326473940424
1971-10-01,5531.032,0,8.61812969555017,0.9383570608775926
1972-01-01,5632.649,0,8.636335125573908,7.282172009495014
