"","date","inflation","output.gap","fedfunds"
"1",1981-01-01,10.4002472752233,-0.655602783041864,16.57
"2",1981-04-01,7.84895159912384,-2.00924711443964,17.78
"3",1981-07-01,7.45899109557264,-1.46154630744739,17.5766666666667
"4",1981-10-01,6.85288432276341,-3.23419109966796,13.5866666666667
"5",1982-01-01,5.46497042600738,-5.50197068031171,14.2266666666667
"6",1982-04-01,5.16261884541009,-5.7622933603847,14.5133333333333
"7",1982-07-01,5.63506496431998,-6.87117661464125,11.0066666666667
"8",1982-10-01,4.12543842815865,-7.56973317308862,9.28666666666667
"9",1983-01-01,3.01100604873437,-6.99125889071279,8.65333333333333
"10",1983-04-01,2.9546746674276,-5.48097387984026,8.80333333333333
"11",1983-07-01,4.23248755675569,-4.25574958332309,9.46
"12",1983-10-01,3.01856758760017,-2.97070872563516,9.43
"13",1984-01-01,4.03350871023385,-1.840778274088,9.68666666666667
"14",1984-04-01,3.40657575172489,-0.958134829383894,10.5566666666667
"15",1984-07-01,3.53948689861721,-0.843300458067908,11.39
"16",1984-10-01,2.9793196758531,-0.881202336978504,9.26666666666667
"17",1985-01-01,3.93557034011724,-0.773996504061714,8.47666666666667
"18",1985-04-01,2.56553258931476,-0.753156851449077,7.92333333333333
"19",1985-07-01,2.40798665475328,-0.089130706905749,7.9
"20",1985-10-01,2.22976920392881,-0.193717420077633,8.10333333333333
"21",1986-01-01,1.98457500481055,-0.100545154798226,7.82666666666667
"22",1986-04-01,1.5110001211081,-0.477809057743173,6.92
"23",1986-07-01,1.63627821036343,-0.346278230574981,6.20666666666667
"24",1986-10-01,2.17389752032169,-0.625066360594317,6.26666666666667
"25",1987-01-01,2.55055177757484,-0.690905211686754,6.22
"26",1987-04-01,2.76124745287021,-0.408899911002614,6.65
"27",1987-07-01,3.02001905280882,-0.321267522603463,6.84333333333333
"28",1987-10-01,3.17607295882816,0.611112339003839,6.91666666666667
"29",1988-01-01,3.12151134164047,0.370087023416055,6.66333333333333
"30",1988-04-01,3.87342821904166,0.927920923402148,7.15666666666667
"31",1988-07-01,4.75529567541813,0.776435155030164,7.98333333333333
"32",1988-10-01,3.44016946227867,1.37045241151945,8.47
"33",1989-01-01,4.1491041958146,1.65953126767189,9.44333333333333
"34",1989-04-01,4.23986121451776,1.7058708686184,9.72666666666667
"35",1989-07-01,2.90864607349519,1.73643137585646,9.08333333333333
"36",1989-10-01,2.83922992082992,1.23188867450281,8.61333333333333
"37",1990-01-01,4.29327455678283,1.62477923423303,8.25
"38",1990-04-01,4.45753411370511,1.30093328381573,8.24333333333333
"39",1990-07-01,3.40983903902305,0.695999990914586,8.16
"40",1990-10-01,2.9682752826222,-0.875995679825614,7.74333333333333
"41",1991-01-01,3.89736135978538,-1.9923089902349,6.42666666666667
"42",1991-04-01,2.92449405496811,-1.85120340274505,5.86333333333333
"43",1991-07-01,3.11772902591585,-1.97803865072608,5.64333333333333
"44",1991-10-01,2.36443678980649,-2.26810453849442,4.81666666666667
"45",1992-01-01,1.48277254537348,-1.72210944303419,4.02333333333333
"46",1992-04-01,2.3994426219172,-1.29427012456276,3.77
"47",1992-07-01,1.95253067634766,-0.972434076023809,3.25666666666667
"48",1992-10-01,2.74038847193943,-0.604027016740183,3.03666666666667
"49",1993-01-01,2.23797086581072,-1.12137700123114,3.04
"50",1993-04-01,2.37553093701948,-1.23065323693865,3
"51",1993-07-01,2.36771880018338,-1.44919472102689,3.06
"52",1993-10-01,2.17464233592288,-0.800228526551372,2.99
"53",1994-01-01,1.91084147464302,-0.543651249294186,3.21333333333333
"54",1994-04-01,1.92623637330023,0.0939519917523057,3.94
"55",1994-07-01,2.28835321560119,-0.0379532775097502,4.48666666666667
"56",1994-10-01,2.16036328829929,0.380470908300978,5.16666666666667
"57",1995-01-01,2.16681657027777,0.0107782605768492,5.81
"58",1995-04-01,1.91558880775027,-0.420335164064944,6.02
"59",1995-07-01,1.96607577361121,-0.303226455340955,5.79666666666667
"60",1995-10-01,1.9208648080614,-0.369510689351138,5.72
"61",1996-01-01,1.91758893552354,-0.376561142669374,5.36333333333333
"62",1996-04-01,1.65568271742735,0.486722878312484,5.24333333333333
"63",1996-07-01,1.30908033688577,0.543091359426384,5.30666666666667
"64",1996-10-01,2.1276334996859,0.697535355176804,5.28
"65",1997-01-01,2.38303523784893,0.425121457506172,5.27666666666667
"66",1997-04-01,0.793128412285071,1.13326899225044,5.52333333333333
"67",1997-07-01,1.74282156456513,1.40005558824488,5.53333333333333
"68",1997-10-01,1.32797856940243,1.25495090239536,5.50666666666667
"69",1998-01-01,0.56778680253089,1.23971135318754,5.52
"70",1998-04-01,0.944523991138979,1.12858643001417,5.5
"71",1998-07-01,1.68884955691162,1.3397700520505,5.53333333333333
"72",1998-10-01,1.12573630888626,1.88550237843845,4.86
"73",1999-01-01,1.29804910738294,1.758682577759,4.73333333333333
"74",1999-04-01,1.50814619001949,1.52980243244443,4.74666666666667
"75",1999-07-01,1.41260373756182,1.79040375941124,5.09333333333333
"76",1999-10-01,2.21296828321584,2.35973388833965,5.30666666666667
"77",2000-01-01,2.65060204521426,1.6679564268177,5.67666666666667
"78",2000-04-01,2.4842566590582,2.45163942475219,6.27333333333333
